stream,step,processed,true_unique,estimate,estimate_plus
16,8,22500,21705,22668.3,22668.3
16,9,25000,24098,24676.1,24676.1
16,10,27500,26505,26628.2,26628.2
16,11,30000,28903,29635.4,29635.4
16,12,32500,31314,31755.9,31755.9
16,13,35000,33718,33454.5,33454.5
16,14,37500,36117,35116.5,35116.5
16,15,40000,38505,37437.7,37437.7
16,16,42500,40902,39419.6,39419.6
16,17,45000,43311,41626.1,41626.1
16,18,47500,45707,43459.9,43459.9
16,19,50000,48093,45678.1,45678.1
17,0,2500,2465,2592.55,2560.55
17,1,5000,4874,4824.32,4817.36
17,2,7500,7287,7099.56,7099.56
17,3,10000,9692,9682.31,9682.31
17,4,12500,12096,11629.1,11629.1
17,5,15000,14511,14070.6,14070.6
17,6,17500,16919,16375.8,16375.8
17,7,20000,19323,18702.1,18702.1
17,8,22500,21727,20906,20906
17,9,25000,24131,23204.7,23204.7
17,10,27500,26515,26071.2,26071.2
17,11,30000,28913,28538.4,28538.4
17,12,32500,31310,30173.4,30173.4
17,13,35000,33698,32882.8,32882.8
17,14,37500,36084,35684.1,35684.1
17,15,40000,38477,37810.1,37810.1
17,16,42500,40863,40076.1,40076.1
17,17,45000,43251,43230.8,43230.8
17,18,47500,45650,46188.5,46188.5
17,19,50000,48026,48136.1,48136.1
18,0,2500,2471,2467.52,2467.52
18,1,5000,4908,4889.75,4884.26
18,2,7500,7316,7404.29,7404.29
18,3,10000,9715,9432.92,9432.92
18,4,12500,12130,11836.8,11836.8
18,5,15000,14540,14375.4,14375.4
18,6,17500,16943,16599.1,16599.1
18,7,20000,19355,19213.1,19213.1
18,8,22500,21757,21258.1,21258.1
18,9,25000,24148,23703,23703
18,10,27500,26541,26153.9,26153.9
18,11,30000,28943,28893,28893
18,12,32500,31352,31819.6,31819.6
18,13,35000,33743,33820.3,33820.3
18,14,37500,36140,37521.6,37521.6
18,15,40000,38533,39933.8,39933.8
18,16,42500,40925,42163.9,42163.9
18,17,45000,43308,44572.3,44572.3
18,18,47500,45688,46220.5,46220.5
18,19,50000,48099,48386,48386
19,0,2500,2477,2577.71,2545.72
19,1,5000,4901,4813.99,4806.8
19,2,7500,7325,7268.11,7268.11
19,3,10000,9725,9862.2,9862.2
19,4,12500,12138,12443.7,12443.7
19,5,15000,14543,14690.6,14690.6
19,6,17500,16960,17137.7,17137.7
19,7,20000,19356,19079.9,19079.9
19,8,22500,21766,21547.6,21547.6
19,9,25000,24151,24299.2,24299.2
19,10,27500,26542,26860.9,26860.9
19,11,30000,28971,28695.5,28695.5
19,12,32500,31386,31069.3,31069.3
19,13,35000,33777,33461.5,33461.5
19,14,37500,36188,35557.5,35557.5
19,15,40000,38603,37138.1,37138.1
19,16,42500,40991,39946.2,39946.2
19,17,45000,43381,42506.7,42506.7
19,18,47500,45774,44306.9,44306.9
19,19,50000,48160,47737.9,47737.9
20,0,2500,2455,2361.85,2361.85
20,1,5000,4873,4765.28,4757.03
20,2,7500,7275,7265.23,7265.23
20,3,10000,9688,9753.18,9753.18
20,4,12500,12095,11884.3,11884.3
20,5,15000,14506,14161,14161
20,6,17500,16919,16552.1,16552.1
20,7,20000,19324,18776.2,18776.2
20,8,22500,21729,21583.5,21583.5
20,9,25000,24118,24042.6,24042.6
20,10,27500,26512,26750.7,26750.7
20,11,30000,28897,28929.2,28929.2
20,12,32500,31294,31926.2,31926.2
20,13,35000,33682,34741.1,34741.1
